Publishing Office,Report Datetime,Time Define,Area Name,Area Code,Weather,Weather Code,Wind,Wave,Precipitation Probability (%),Temperature (°C),Min Temp (°C),Max Temp (°C),Min Temp Upper (°C),Min Temp Lower (°C),Max Temp Upper (°C),Max Temp Lower (°C),Reliability
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-27T11:00:00+09:00,宗谷地方,011000,くもり　夜遅く　雨か雪　所により　雷　を伴う,218,南東の風　やや強く　後　南西の風　やや強く　海上　では　後　南西の風　強く,３メートル,,,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-28T00:00:00+09:00,宗谷地方,011000,くもり　朝　から　昼過ぎ　雨か雪　所により　雷　を伴う,207,南西の風　やや強く　後　西の風　海上　では　はじめ　南西の風　強く,３メートル,,,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-29T00:00:00+09:00,宗谷地方,011000,くもり　時々　雪,205,東の風　後　西の風,１．５メートル　後　２．５メートル,,,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-27T12:00:00+09:00,宗谷地方,011000,,,,,20,,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-27T18:00:00+09:00,宗谷地方,011000,,,,,50,,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-28T00:00:00+09:00,宗谷地方,011000,,,,,20,,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-28T06:00:00+09:00,宗谷地方,011000,,,,,50,,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-28T12:00:00+09:00,宗谷地方,011000,,,,,50,,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-28T18:00:00+09:00,宗谷地方,011000,,,,,30,,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-27T09:00:00+09:00,稚内,11016,,,,,,10,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-27T00:00:00+09:00,稚内,11016,,,,,,10,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-28T00:00:00+09:00,稚内,11016,,,,,,2,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-28T09:00:00+09:00,稚内,11016,,,,,,6,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-28T00:00:00+09:00,宗谷地方,011000,,207,,,,,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-29T00:00:00+09:00,宗谷地方,011000,,205,,,70,,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-30T00:00:00+09:00,宗谷地方,011000,,204,,,60,,,,,,,,C
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-12-01T00:00:00+09:00,宗谷地方,011000,,204,,,50,,,,,,,,C
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-12-02T00:00:00+09:00,宗谷地方,011000,,260,,,50,,,,,,,,C
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-12-03T00:00:00+09:00,宗谷地方,011000,,260,,,50,,,,,,,,C
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-12-04T00:00:00+09:00,宗谷地方,011000,,204,,,50,,,,,,,,C
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-28T00:00:00+09:00,稚内,11016,,,,,,,,,,,,,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-29T00:00:00+09:00,稚内,11016,,,,,,,-1,3,1,-3,4,1,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-11-30T00:00:00+09:00,稚内,11016,,,,,,,-1,1,0,-3,3,-1,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-12-01T00:00:00+09:00,稚内,11016,,,,,,,-1,2,1,-3,5,1,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-12-02T00:00:00+09:00,稚内,11016,,,,,,,0,3,2,-4,8,1,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-12-03T00:00:00+09:00,稚内,11016,,,,,,,-1,3,0,-7,8,0,
稚内地方気象台,2024-11-27T11:00:00+09:00,2024-12-04T00:00:00+09:00,稚内,11016,,,,,,,-3,1,-1,-7,7,0,
